Sample_ID,Species,Site,Month,TreeID
BOR-1-JULY-S73-L001,Q_douglasii,Ridge,July,BOR1
BOR-1-MAY-S25-L001,Q_douglasii,Ridge,May,BOR1
BOR-1-SEP-S121-L001,Q_douglasii,Ridge,September,BOR1
BOR-2-JULY-S74-L001,Q_douglasii,Ridge,July,BOR2
BOR-2-MAY-S26-L001,Q_douglasii,Ridge,May,BOR2
BOR-2-SEP-S122-L001,Q_douglasii,Ridge,September,BOR2
BOR-3-JULY-S75-L001,Q_douglasii,Ridge,July,BOR3
BOR-3-MAY-S27-L001,Q_douglasii,Ridge,May,BOR3
BOR-3-SEP-S123-L001,Q_douglasii,Ridge,September,BOR3
BOR-4-JULY-S76-L001,Q_douglasii,Ridge,July,BOR4
BOR-4-MAY-S28-L001,Q_douglasii,Ridge,May,BOR4
BOR-4-SEP-S124-L001,Q_douglasii,Ridge,September,BOR4
BOR-5-JULY-S77-L001,Q_douglasii,Ridge,July,BOR5
BOR-5-MAY-S29-L001,Q_douglasii,Ridge,May,BOR5
BOR-5-SEP-S125-L001,Q_douglasii,Ridge,September,BOR5
BOR-6-JULY-S78-L001,Q_douglasii,Ridge,July,BOR6
BOR-6-MAY-S30-L001,Q_douglasii,Ridge,May,BOR6
BOR-6-SEP-S126-L001,Q_douglasii,Ridge,September,BOR6
BOR-7-JULY-S79-L001,Q_douglasii,Ridge,July,BOR7
BOR-7-MAY-S31-L001,Q_douglasii,Ridge,May,BOR7
BOR-7-SEP-S127-L001,Q_douglasii,Ridge,September,BOR7
BOR-8-JULY-S80-L001,Q_douglasii,Ridge,July,BOR8
BOR-8-MAY-S32-L001,Q_douglasii,Ridge,May,BOR8
BOR-8-SEP-S128-L001,Q_douglasii,Ridge,September,BOR8
BOR-9-JULY-S81-L001,Q_douglasii,Ridge,July,BOR9
BOR-9-MAY-S33-L001,Q_douglasii,Ridge,May,BOR9
BOR-9-SEP-S129-L001,Q_douglasii,Ridge,September,BOR9
BOR-10-JULY-S82-L001,Q_douglasii,Ridge,July,BOR10
BOR-10-MAY-S34-L001,Q_douglasii,Ridge,May,BOR10
BOR-10-SEP-S130-L001,Q_douglasii,Ridge,September,BOR10
BOR-11-JULY-S83-L001,Q_douglasii,Ridge,July,BOR11
BOR-11-MAY-S35-L001,Q_douglasii,Ridge,May,BOR11
BOR-11-SEP-S131-L001,Q_douglasii,Ridge,September,BOR11
BOR-12-JULY-S84-L001,Q_douglasii,Ridge,July,BOR12
BOR-12-MAY-S36-L001,Q_douglasii,Ridge,May,BOR12
BOR-12-SEP-S132-L001,Q_douglasii,Ridge,September,BOR12
BOV-1-JULY-S49-L001,Q_douglasii,Valley,July,BOV1
BOV-1-MAY-S1-L001,Q_douglasii,Valley,May,BOV1
BOV-1-SEP-S97-L001,Q_douglasii,Valley,September,BOV1
BOV-2-JULY-S50-L001,Q_douglasii,Valley,July,BOV2
BOV-2-MAY-S2-L001,Q_douglasii,Valley,May,BOV2
BOV-2-SEP-S98-L001,Q_douglasii,Valley,September,BOV2
BOV-3-JULY-S51-L001,Q_douglasii,Valley,July,BOV3
BOV-3-MAY-S3-L001,Q_douglasii,Valley,May,BOV3
BOV-3-SEP-S99-L001,Q_douglasii,Valley,September,BOV3
BOV-4-JULY-S52-L001,Q_douglasii,Valley,July,BOV4
BOV-4-MAY-S4-L001,Q_douglasii,Valley,May,BOV4
BOV-4-SEP-S100-L001,Q_douglasii,Valley,September,BOV4
BOV-5-JULY-S53-L001,Q_douglasii,Valley,July,BOV5
BOV-5-MAY-S5-L001,Q_douglasii,Valley,May,BOV5
BOV-5-SEP-S101-L001,Q_douglasii,Valley,September,BOV5
BOV-6-JULY-S54-L001,Q_douglasii,Valley,July,BOV6
BOV-6-MAY-S6-L001,Q_douglasii,Valley,May,BOV6
BOV-6-SEP-S102-L001,Q_douglasii,Valley,September,BOV6
BOV-7-JULY-S55-L001,Q_douglasii,Valley,July,BOV7
BOV-7-MAY-S7-L001,Q_douglasii,Valley,May,BOV7
BOV-7-SEP-S103-L001,Q_douglasii,Valley,September,BOV7
BOV-8-JULY-S56-L001,Q_douglasii,Valley,July,BOV8
BOV-8-MAY-S8-L001,Q_douglasii,Valley,May,BOV8
BOV-8-SEP-S104-L001,Q_douglasii,Valley,September,BOV8
BOV-9-JULY-S57-L001,Q_douglasii,Valley,July,BOV9
BOV-9-MAY-S9-L001,Q_douglasii,Valley,May,BOV9
BOV-9-SEP-S105-L001,Q_douglasii,Valley,September,BOV9
BOV-10-JULY-S58-L001,Q_douglasii,Valley,July,BOV10
BOV-10-MAY-S10-L001,Q_douglasii,Valley,May,BOV10
BOV-10-SEP-S106-L001,Q_douglasii,Valley,September,BOV10
BOV-11-JULY-S59-L001,Q_douglasii,Valley,July,BOV11
BOV-11-MAY-S11-L001,Q_douglasii,Valley,May,BOV11
BOV-11-SEP-S107-L001,Q_douglasii,Valley,September,BOV11
BOV-12-JULY-S60-L001,Q_douglasii,Valley,July,BOV12
BOV-12-MAY-S12-L001,Q_douglasii,Valley,May,BOV12
BOV-12-SEP-S108-L001,Q_douglasii,Valley,September,BOV12
LOR-1-JULY-S85-L001,Q_wislizeni,Ridge,July,LOR1
LOR-1-MAY-S37-L001,Q_wislizeni,Ridge,May,LOR1
LOR-1-SEP-S133-L001,Q_wislizeni,Ridge,September,LOR1
LOR-2-JULY-S86-L001,Q_wislizeni,Ridge,July,LOR2
LOR-2-MAY-S38-L001,Q_wislizeni,Ridge,May,LOR2
LOR-2-SEP-S134-L001,Q_wislizeni,Ridge,September,LOR2
LOR-3-JULY-S87-L001,Q_wislizeni,Ridge,July,LOR3
LOR-3-MAY-S39-L001,Q_wislizeni,Ridge,May,LOR3
LOR-3-SEP-S135-L001,Q_wislizeni,Ridge,September,LOR3
LOR-4-JULY-S88-L001,Q_wislizeni,Ridge,July,LOR4
LOR-4-MAY-S40-L001,Q_wislizeni,Ridge,May,LOR4
LOR-4-SEP-S136-L001,Q_wislizeni,Ridge,September,LOR4
LOR-5-JULY-S89-L001,Q_wislizeni,Ridge,July,LOR5
LOR-5-MAY-S41-L001,Q_wislizeni,Ridge,May,LOR5
LOR-5-SEP-S137-L001,Q_wislizeni,Ridge,September,LOR5
LOR-6-JULY-S90-L001,Q_wislizeni,Ridge,July,LOR6
LOR-6-MAY-S42-L001,Q_wislizeni,Ridge,May,LOR6
LOR-6-SEP-S138-L001,Q_wislizeni,Ridge,September,LOR6
LOR-7-JULY-S91-L001,Q_wislizeni,Ridge,July,LOR7
LOR-7-SEP-S139-L001,Q_wislizeni,Ridge,September,LOR7
LOR-8-JULY-S92-L001,Q_wislizeni,Ridge,July,LOR8
LOR-8-MAY-S44-L001,Q_wislizeni,Ridge,May,LOR8
LOR-8-SEP-S140-L001,Q_wislizeni,Ridge,September,LOR8
LOR-9-JULY-S93-L001,Q_wislizeni,Ridge,July,LOR9
LOR-9-MAY-S45-L001,Q_wislizeni,Ridge,May,LOR9
LOR-9-SEP-S141-L001,Q_wislizeni,Ridge,September,LOR9
LOR-10-JULY-S94-L001,Q_wislizeni,Ridge,July,LOR10
LOR-10-MAY-S46-L001,Q_wislizeni,Ridge,May,LOR10
LOR-10-SEP-S142-L001,Q_wislizeni,Ridge,September,LOR10
LOR-11-JULY-S95-L001,Q_wislizeni,Ridge,July,LOR11
LOR-11-MAY-S47-L001,Q_wislizeni,Ridge,May,LOR11
LOR-11-SEP-S143-L001,Q_wislizeni,Ridge,September,LOR11
LOR-12-JULY-S96-L001,Q_wislizeni,Ridge,July,LOR12
LOR-12-MAY-S48-L001,Q_wislizeni,Ridge,May,LOR12
LOR-12-SEP-S144-L001,Q_wislizeni,Ridge,September,LOR12
LOV-1-JULY-S61-L001,Q_wislizeni,Valley,July,LOV1
LOV-1-MAY-S13-L001,Q_wislizeni,Valley,May,LOV1
LOV-1-SEP-S109-L001,Q_wislizeni,Valley,September,LOV1
LOV-2-JULY-S62-L001,Q_wislizeni,Valley,July,LOV2
LOV-2-MAY-S14-L001,Q_wislizeni,Valley,May,LOV2
LOV-2-SEP-S110-L001,Q_wislizeni,Valley,September,LOV2
LOV-3-JULY-S63-L001,Q_wislizeni,Valley,July,LOV3
LOV-3-MAY-S15-L001,Q_wislizeni,Valley,May,LOV3
LOV-3-SEP-S111-L001,Q_wislizeni,Valley,September,LOV3
LOV-4-JULY-S64-L001,Q_wislizeni,Valley,July,LOV4
LOV-4-MAY-S16-L001,Q_wislizeni,Valley,May,LOV4
LOV-4-SEP-S112-L001,Q_wislizeni,Valley,September,LOV4
LOV-5-JULY-S65-L001,Q_wislizeni,Valley,July,LOV5
LOV-5-MAY-S17-L001,Q_wislizeni,Valley,May,LOV5
LOV-5-SEP-S113-L001,Q_wislizeni,Valley,September,LOV5
LOV-7-JULY-S67-L001,Q_wislizeni,Valley,July,LOV7
LOV-7-MAY-S19-L001,Q_wislizeni,Valley,May,LOV7
LOV-7-SEP-S115-L001,Q_wislizeni,Valley,September,LOV7
LOV-8-JULY-S68-L001,Q_wislizeni,Valley,July,LOV8
LOV-8-MAY-S20-L001,Q_wislizeni,Valley,May,LOV8
LOV-8-SEP-S116-L001,Q_wislizeni,Valley,September,LOV8
LOV-9-JULY-S69-L001,Q_wislizeni,Valley,July,LOV9
LOV-9-MAY-S21-L001,Q_wislizeni,Valley,May,LOV9
LOV-9-SEP-S117-L001,Q_wislizeni,Valley,September,LOV9
LOV-10-JULY-S70-L001,Q_wislizeni,Valley,July,LOV10
LOV-10-MAY-S22-L001,Q_wislizeni,Valley,May,LOV10
LOV-10-SEP-S118-L001,Q_wislizeni,Valley,September,LOV10
LOV-11-JULY-S71-L001,Q_wislizeni,Valley,July,LOV11
LOV-11-MAY-S23-L001,Q_wislizeni,Valley,May,LOV11
LOV-11-SEP-S119-L001,Q_wislizeni,Valley,September,LOV11
LOV-12-JULY-S72-L001,Q_wislizeni,Valley,July,LOV12
LOV-12-MAY-S24-L001,Q_wislizeni,Valley,May,LOV12
LOV-12-SEP-S120-L001,Q_wislizeni,Valley,September,LOV12
LOV-6-JULY-S66-L001,Q_wislizeni,Valley,July,LOV6
LOV-6-MAY-S18-L001,Q_wislizeni,Valley,May,LOV6
LOV-6-SEP-S114-L001,Q_wislizeni,Valley,September,LOV6